AI仕事術	ジェリー|1分で学べるAI活用術	ー実務に役立つAI活用術ー Copilot・Geminiに関する情報を中心に1分でお届け。プライム上場企業含む、累計100社以上の支援をしている会社のCAIO。Copilot・Gemini特化の実務支援ならお任せください。	jerry_ai00	https://www.instagram.com/jerry_ai00/	44000	101	43564.3564	AI実務活用(Copilot/Gemini中心)	カルーセル	2026/07/29
AI副業	りこ|AIでインスタ挫折ママをゼロにする	AIでインスタ挫折ママをゼロにする(プロフィール見出しのみ確認、bio全文は未取得)	riko_nft_crypto	https://www.instagram.com/riko_nft_crypto/	27000	153	17647.0588	AI×インスタ運用・フリーランス向け	カルーセル/リール	2026/07/29
AI副業	あんな|明日から使えるAI・ChatGPT	確認不能(bio全文未取得、アカウント名のみ確認)	anna__nft	https://www.instagram.com/anna__nft/				AI/ChatGPTノウハウ・GPTs	確認不能	2026/07/29
AI×SNS	ポジ夫婦🧑‍💻👩‍💻AI×SNSスキルで自由な暮らし	『マネできる』インスタ運用テク/運用アカフォロワー数60万人/8000人在籍のインスタ講師/投稿で言えない裏話→ストーリーズへ	posi_aiskill	https://www.instagram.com/posi_aiskill/	23100			AI発信術・SNSスキル	カルーセル	2026/07/29
AI×インスタマーケ	あさひ|40代50代SNS超苦手でも実践できるAI×インスタマーケのプロ	40代50代60代【業界TOP】AI×インスタマーケ講座運営/25歳|最年少ドバイ移住|アフリカ財団設立/売上0→個人で2年で2億・月3500万/クラファン1,078万・紙書籍2冊	asahi_ogihara	https://www.instagram.com/asahi_ogihara/	6235	341	1828.4457	AI×インスタマーケ/コンテンツ販売	カルーセル	2026/07/29
AI仕事術	あべむつき|初心者でもできるAI活用法	AI初心者が2ヶ月で月30万を実現/SNS総フォロワー35万人が教える/ChatGPTをはじめとしたAI活用法	abe_chatgpt	https://www.instagram.com/abe_chatgpt/	38800	178	21797.7528	AI初心者向け活用/収益化	カルーセル	2026/07/29
AI副業	おくやま|AIで収益化させるプロ	あなたをAIで稼げるに育てます/AIとSNSだけで2年で10億突破/弊社サービスの受講者数5,000名超え	chatgpt_dojo	https://www.instagram.com/chatgpt_dojo/	96100	119	80756.3025	AI収益化/講座	カルーセル	2026/07/29
海外ビルドインパブリック	Marc Lou	I was fired everywhere, so I employed myself. All my startups ($94,799/month)	marclouvion	https://www.instagram.com/marclouvion/	20300	99	20505.0505	インディーハッカー/build in public(海外・仏)	トーク/カルーセル	2026/07/29
海外ビルドインパブリック	Rowan Cheung	The latest developments in AI and robotics, explained. Founder/CEO @therundownai. Join 2,000,000+	rowancheung	https://www.instagram.com/rowancheung/	464000	427	108665.1054	AIニュース/教育(海外・加米)	カルーセル/リール	2026/07/29
海外ビルドインパブリック	Riley Brown	Preparing for an @agent_native future. riley@rakugomedia.com	realrileybrown	https://www.instagram.com/realrileybrown/	328000	168	195238.0952	AI実演/vibe coding(海外・米)	リール	2026/07/29
世界観・イラスト教育	すだたく先生🎨可愛いイラスト学校(旧:だぁ|動画愛猫イラスト学校)	イラスト描き方でフォロワー数1位/人気キャラの描き方を本気で紹介/ママ・保育士・看護師さんから大人気/お仕事のご依頼はDMまでお願いします	suda.1109	https://www.instagram.com/suda.1109/	507000	201	252238.806	キャラ×「学校」コンセプト、イラスト教え方	カルーセル/リール	2026/07/29
ビジネス系・SNS運用	saki kakuda|インスタの大学	(二次情報要約)1,500名超の受講生、累計売上15億円、インスタ総フォロワー100万人。書籍『インスタの方程式』ビジネス書1位	sakisns_ad	https://www.instagram.com/sakisns_ad/	97000	348	27873.5632	ビジネス系・SNS運用ノウハウ	カルーセル	2026/07/29
ADHD当事者	やしろあずき	会社を5つ経営しながら漫画家やってます。最新の漫画は毎日更新のブログを見てね!Twitterフォロワー50万 Amazonアソシエイト参加	yashiroazuki	https://www.instagram.com/yashiroazuki/	86500	312	27724.359	ADHD(不注意優勢型)当事者×経営者×漫画家。ADHD関連書籍出版	漫画/カルーセル	2026/07/29
ADHD当事者	はなゆい🍀もしかして、うちの夫はADHD?!	笑う母には福来る/ADHD×子育て|心が軽くなる漫画/新刊『もしかして、うちの夫はADHD!?』/書籍『ぽんこつ母さんだと思ったらADHDグレーでした』(3刷)	yuihanada7	https://www.instagram.com/yuihanada7/	141000	874	16132.7231	ADHD×子育てエッセイ漫画	漫画/カルーセル	2026/07/29
ADHD当事者	ざく ざくろ	ADHDと軽度アスペルガーを併発しとる女(わし)とシュヌス(夫。日本人。優しい)の日常絵日記【DMとメールは夫のシュヌスが先に読んでます】	zaguzaguro	https://www.instagram.com/zaguzaguro/	40100	204	19656.8627	ADHD&アスペルガー当事者の夫婦絵日記	イラスト日記/カルーセル	2026/07/29
発達障害・啓発	大人の神経発達症(発達障害)	大人の神経発達症(発達障害)に関する啓発アカウント(製薬会社運営)	shinkeihattatsusho.jp	https://www.instagram.com/shinkeihattatsusho.jp/	1463			発達障害啓発・情報発信(製薬企業運営)	カルーセル	2026/07/29
ADHD当事者	花屋乃かや【ADHD経営者・俳優・歌手】	(二次情報要約)ADHD障害者手帳2級。約20回の転職経験を経て「発達障害メイド喫茶スターブロッサム」を設立・運営。2026年5月に全国ネットのドキュメンタリー番組出演予定。	kayastarblossom	https://www.instagram.com/kayastarblossom/	1948	202	964.3564	ADHD当事者×起業(発達障害メイド喫茶運営)、TV密着予定	エッセイ/カルーセル	2026/07/29
ミドル再起	eri|40代のリアルと働き方	40代|リアルをそのまま話す人/発信歴10年目/在宅ワークで幸せを掴みたい人を応援/人生変わった「働き方」	ie___y	https://www.instagram.com/ie___y/	48600			40代の働き方・在宅ワーク・発信10年	カルーセル	2026/07/29
ミドル再起	わたしの決断物語	様々な人生の決断(転職・独立・起業・結婚・健康など)を紹介するWebメディア	life_my_decision	https://www.instagram.com/life_my_decision/	455	551	82.5771	転職・独立・起業など人生の決断ストーリー	インタビュー/カルーセル	2026/07/29
海外ビルドインパブリック	Matt Gray	Helping you build your profitable personal brand. Founder & CEO @founder_os. Join my next free workshop	matthgray	https://www.instagram.com/matthgray/	964000	2784	34626.4368	パーソナルブランド構築・起業家教育(Founder OS)	トーク/カルーセル	2026/07/29
海外AIビルドインパブリック	Greg Isenberg	follow me for startup ideas in the AI age | host @startup.ideas.podcast | ceo @latecheckout	gregisenberg	https://www.instagram.com/gregisenberg/	140000	640	21875.0	AI時代のスタートアップアイデア発信・Podcast運営	トーク/リール	2026/07/29
海外AI×パーソナルブランド	DAN KOE	(bio全文未取得。AI活用によるコンテンツ量産とパーソナルブランド構築で急成長したことが複数二次情報で確認できる)	thedankoe	https://www.instagram.com/thedankoe/	2000000	1307	153022.1882	AI活用コンテンツ量産×パーソナルブランド構築(海外)	カルーセル/リール	2026/07/29
